rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
101,عَلَى مَدَى الحَيَاةِ,lifelong / over a lifetime,tout au long de la vie,تاحیات / پوری زندگی,Temporal phrase used to describe an action or condition that lasts for the duration of a person's life.,التَّعَلُّمُ عَلَى مَدَى الحَيَاةِ.,Lifelong learning.,True,True,,verified
102,بِغَرَضِ الاطِّلاعِ,for information / for review,pour information / pour examen,معلومات کی غرض سے / مطالعے کے لیے,Phrase used when a document or fact is provided so that someone can become aware of its contents.,أَرْسَلْتُهُ بِغَرَضِ الاطِّلاعِ.,I sent it for information.,True,True,,verified
103,فِي المَقَامِ الثَّانِي,in the second place / secondly,en second lieu / deuxièmement,دوسرے نمبر پر / ثانیاً,Phrase used to introduce the second most important point or reason in a sequence.,هُوَ عَمَلِيٌّ فِي المَقَامِ الثَّانِي.,He is practical in the second place.,True,True,,verified
104,بِمَا لَا يَدَعُ مَجَالاً لِلرَّيْبِ,beyond any suspicion / leaving no room for doubt,sans l'ombre d'un doute / hors de tout soupçon,بلا ریب و شک,Strong emphatic phrase used to assert that something is absolutely and purely true.,هَذِهِ الحَقِيقَةُ بِمَا لَا يَدَعُ مَجَالاً لِلرَّيْبِ.,This is the truth beyond any suspicion.,True,True,,verified
105,مِنَ السَّهْلِ أَنْ,it is easy to,il est facile de,آسان ہے کہ,Phrase used to indicate that a specific action requires little effort or is simple to achieve.,مِنَ السَّهْلِ أَنْ تَقُولَ ذَلِكَ.,It is easy to say that.,True,True,,verified
106,عَلَى مَدَارِ السَّاعَةِ,around the clock / 24/7,24 heures sur 24 / en permanence,چوبیس گھنٹے / ہر وقت,Idiomatic expression indicating that an action or service is available or happening continuously.,نَعْمَلُ عَلَى مَدَارِ السَّاعَةِ.,We work around the clock.,True,True,,verified
107,فِي هَذَا الإِطَارِ,in this framework / within this context,dans ce cadre / dans ce contexte,اس فریم ورک میں / اس دائرہ کار میں,Phrase used to link a statement to the specific structural or conceptual limits of a discussion.,سَنَتَعَاوَنُ فِي هَذَا الإِطَارِ.,We will cooperate within this framework.,True,True,,verified
108,بِدُونِ قَصْدٍ,unintentionally / accidentally,sans intention / par accident,غیر ارادی طور پر / انجانے میں,Phrase used to describe an action that happened without the person planning it or meaning to do it.,فَعَلْتُ ذَلِكَ بِدُونِ قَصْدٍ.,I did that unintentionally.,True,True,,verified
109,بِغَضِّ النَّظَرِ عَنِ العَوَاقِبِ,regardless of the consequences,quelles que soient les conséquences,نتائج / عواقب سے قطع نظر,Phrase asserting that an action will be taken even if the results are potentially negative or unknown.,سَأَفْعَلُهُ بِغَضِّ النَّظَرِ عَنِ العَوَاقِبِ.,I will do it regardless of the consequences.,True,True,,verified
110,عَلَى شَفَا,on the brink of / on the edge of,au bord de / sur le point de,کے دہانے پر / کے کنارے پر,"Prepositional phrase similar to 'ala haffa', often used to describe a dangerous or critical state.",عَلَى شَفَا الاِنْهِيَارِ.,On the brink of collapse.,True,True,,verified
111,بِمَحْضِ تَقْدِيرِهِ,at his absolute discretion / as he sees fit,à sa seule discrétion,اس کی اپنی صوابدید پر,Phrase indicating that an action or choice is entirely up to the judgment of one specific person.,لَهُ الحَقُّ بِمَحْضِ تَقْدِيرِهِ.,He has the right at his absolute discretion.,True,True,,verified
112,فِي غُضُونِ ذَلِكَ,in the meantime / meanwhile,entre-temps / pendant ce temps-là,اس دوران / اسی اثناء میں,Temporal phrase used to describe an action occurring simultaneously with another or in the interval between events.,اِنْتَظِرْ، وَفِي غُضُونِ ذَلِكَ سَأَحْضُرُ الشَّايَ.,"Wait; in the meantime, I will bring tea.",True,True,,verified
113,عَلَى كُلِّ المَسْتَوَيَاتِ,at all levels,à tous les niveaux,تمام سطحوں پر / ہر سطح پر,Phrase indicating that a statement or condition applies throughout various tiers or areas of a system.,التَّعَاوُنُ عَلَى كُلِّ المَسْتَوَيَاتِ.,Cooperation at all levels.,True,True,,verified
114,فِي المَقَامِ الثَّالِثِ,in the third place / thirdly,en troisième lieu / troisièmement,تیسرے نمبر پر / ثالثاً,Phrase used to introduce the third point or reason in a sequence.,وَفِي المَقَامِ الثَّالِثِ، التَّكْلِفَةُ.,"And thirdly, the cost.",True,True,,verified
115,بِمَا لَا يَدَعُ مَجَالاً لِلانْتِقَادِ,beyond reproach / leaving no room for criticism,irréprochable / sans faille,جس پر کوئی تنقید نہ ہو سکے,Phrase used to describe something done so perfectly that it cannot be faulted.,كَانَ العَمَلُ بِمَا لَا يَدَعُ مَجَالاً لِلانْتِقَادِ.,The work was beyond reproach.,True,True,,verified
116,مِنْ آوِنَةٍ لِأُخْرَى,from time to time / occasionally,de temps en temps,کبھی کبھار / وقت بہ وقت,Phrase used to say that something happens occasionally or at irregular intervals.,نَلْتَقِي مِنْ آوِنَةٍ لِأُخْرَى.,We meet from time to time.,True,True,,verified
117,مِنَ الصَّعْبِ تَجَاهُلُهُ,hard to ignore / noticeable,difficile à ignorer,نظر انداز کرنا مشکل ہے,Phrase used to describe something significant or prominent that demands attention.,هَذَا التَّطَوُّرُ مِنَ الصَّعْبِ تَجَاهُلُهُ.,This development is hard to ignore.,True,True,,verified
118,فِي هَذِهِ الحَالَةِ,in this case / in this situation,dans ce cas / dans cette situation,اس صورت میں / اس حالت میں,Phrase used to narrow the context to the specific circumstances just mentioned.,فِي هَذِهِ الحَالَةِ، سَنَنْتَظِرُ.,"In this case, we will wait.",True,True,,verified
119,بِدُونِ تَفْكِيرٍ,without thinking / instinctively / thoughtlessly,sans réfléchir / instinctivement,سوچے سمجھے بغیر,Phrase used to describe an action done rapidly or without prior consideration.,أَجَابَ بِدُونِ تَفْكِيرٍ.,He answered without thinking.,True,True,,verified
120,فِي المَدَى المَنْظُورِ,in the foreseeable future,dans un avenir proche,قریب ترین مستقبل میں,Phrase referring to the period of time that can be predicted based on current trends.,لَا نَتَوَقَّعُ تَغْيِيرًا فِي المَدَى المَنْظُورِ.,We don't expect change in the foreseeable future.,True,True,,verified
121,بِغَضِّ النَّظَرِ عَنِ التَّكَالِيفِ,regardless of the costs,quel qu'en soit le coût,اخراجات سے قطع نظر,Phrase asserting that an action will be taken irrespective of the financial burden.,سَنُنْجِزُ المَشْرُوعَ بِغَضِّ النَّظَرِ عَنِ التَّكَالِيفِ.,We will complete the project regardless of the costs.,True,True,,verified
122,عَلَى مَقْرُبَةٍ مِنْ,near to / in the vicinity of,à proximité de / près de,کے قریب / کے نزدیک,Prepositional phrase indicating physical closeness to a specific location.,كُنَّا عَلَى مَقْرُبَةٍ مِنَ المَدِينَةِ.,We were near the city.,True,True,,verified
123,بِمَحْضِ تَقْدِيرِكَ,at your own discretion,à votre propre discrétion,آپ کی اپنی صوابدید پر,Phrase indicating that the choice or decision is entirely up to the listener.,الأَمْرُ بِمَحْضِ تَقْدِيرِكَ.,The matter is at your own discretion.,True,True,,verified
124,فِي غَمْرَةِ الفَرَحِ,in the midst of joy / overwhelmed with joy,au comble de la joie / dans l'allégresse,خوشی کے عالم میں / بے حد خوشی میں,Idiomatic phrase describing a state where someone is completely absorbed in or overwhelmed by happiness.,نَسِيَ هُمُومَهُ فِي غَمْرَةِ الفَرَحِ.,He forgot his worries in the midst of joy.,True,True,,verified
125,عَلَى كُلِّ المَسَارَاتِ,on all tracks / in all directions,sur tous les fronts / dans toutes les directions,تمام راستوں پر / ہر محاذ پر,Phrase used to indicate that progress or actions are happening across multiple domains or paths simultaneously.,التَّقَدُّمُ مُسْتَمِرٌّ عَلَى كُلِّ المَسَارَاتِ.,Progress is ongoing on all tracks.,True,True,,verified
126,فِي المَقَامِ الرَّابِعِ,in the fourth place / fourthly,en quatrième lieu / quatrièmement,چوتھے نمبر پر / رابعاً,Phrase used to introduce the fourth item in an ordered list of points or reasons.,وَفِي المَقَامِ الرَّابِعِ، الوَقْتُ.,"And fourthly, the time.",True,True,,verified
127,بِمَا لَا يَدَعُ مَجَالاً لِلخَطَأِ,foolproof / leaving no room for error,infaillible / sans aucune erreur possible,جس میں غلطی کی کوئی گنجائش نہ ہو,Phrase used to describe a system or plan that is so well-designed that failure is nearly impossible.,صَمَّمْنَا النِّظَامَ بِمَا لَا يَدَعُ مَجَالاً لِلخَطَأِ.,We designed the system to be foolproof.,True,True,,verified
128,مِنْ لَحْظَةٍ لِأُخْرَى,from one moment to another / imminently,d'un moment à l'autre / incessamment,ایک لمحے سے دوسرے لمحے تک / کسی بھی وقت,Phrase used to describe an event that is expected to happen very soon or is constantly changing.,نَتَوَقَّعُ وُصُولَهُ مِنْ لَحْظَةٍ لِأُخْرَى.,We expect his arrival at any moment.,True,True,,verified
129,مِنَ الصَّعْبِ نِكْرَانُهُ,undeniable / hard to deny,indéniable / difficile à nier,جس سے انکار کرنا مشکل ہو,Phrase used to describe a fact or truth that is so obvious it cannot be refuted.,نَجَاحُهُ مِنَ الصَّعْبِ نِكْرَانُهُ.,His success is undeniable.,True,True,,verified
130,فِي هَذِهِ النُّقْطَةِ,at this point / on this matter,sur ce point / à ce stade,اس نکتے پر / اس مقام پر,Phrase used to focus the discussion on a specific detail or a specific moment in time.,أَنَا أَتَّفِقُ مَعَكَ فِي هَذِهِ النُّقْطَةِ.,I agree with you on this point.,True,True,,verified
