rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
714,يعرض,presents; displays; offers; exposes (depending on form),imperfect / present verb,jʕrdˤ,y‘rdˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
715,عرب,Arabs,noun,ʕˈarrab,‘arrab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
716,صالح,valid; suitable; righteous; good,adjective,s̪ˈaːliħ,s̪alayayh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
717,ملابس,clothes; clothing,noun,mlˈaːbs,mlabs,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
718,تحرك,movement; activity; moved,noun / perfect / past verb,tˈaħarrˌuk,taharrohohk,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
719,بدل,substitute; allowance; compensation; instead of; changed; replaced (depending on vocalization/use),noun / relational expression / perfect-past verb,bˈadal,badal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
720,طائرة,airplane; aircraft,noun,t̪ˈaːʔirˌa,t̪aʔayayra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
721,جماعة,group; community,noun,dʒˈamaːʕˌa,yama‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
722,مصدر,source,noun,mˈas̪dar,mas̪dar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
723,معظم,most; majority of,noun,mˈuʕðam,mohoh‘dham,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
724,أهلا,welcome!; hello! (أهلًا),greeting expression / noun used adverbially,ʔhlˈaː,ʔhla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
725,قطع,pieces; parts; cut,noun / perfect / past verb,qˈat̪aʕ,qat̪a‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
726,موافقة,approval; agreement; agreeing/suitable (feminine adjective use),noun / adjective,muːˈaːfaqˌa,mohohafaqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
727,أخبار,news; reports,noun,ʔˈaχbaːr,ʔakhbar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
728,محافظة,"governorate; province; preservation; maintenance; conservation; conservative/preserving (feminine, depending on use)",noun / verbal noun / adjective,muħˈaːfaðˌa,mohohhafadha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
729,خطر,danger; risk; dangerous; occurred; came to mind (depending on vocalization/use),noun / adjective / perfect-past verb,χˈat̪ar,khat̪ar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
730,صندوق,box; fund,noun,s̪ˈunduːq,s̪ohohndohohq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
731,جزيرة,island,noun,dʒˈaziːrˌa,yazayayra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
732,يصدق,is truthful; tells the truth; proves true; believes; accepts as true; confirms/ratifies (depending on vocalization/form),imperfect-present verb,js̪dq,ys̪dq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
733,قوى,forces; powers; strengths,noun,qˈawaː,qawa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
734,دم,blood,noun,dˈam,dam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
735,جائزة,prize; award,noun,dʒˈaːʔizˌa,yaʔayayza,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
736,حكومي,governmental; government,adjective,ħˈukuːmˌiːj,hohohkohohmayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
737,يظهر,appears; shows; demonstrates (depending on form),imperfect / present verb,jðhr,ydhhr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
738,وراء,behind; beyond; after,adverb / preposition,wˈaraːʔ,waraʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
739,حادث,incident; accident; event; spoke/conversed with (verb reading),noun / perfect / past verb,ħˈaːdiθ,hadayayth,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
740,نقاط,points; dots,noun,nqˈaːt̪,nqat̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
741,انتظار,waiting; expectation,noun,ˈintiðˌaːr,ayayntayaydhar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
742,قاعدة,rule; base; foundation,noun,qˈaːʕidˌa,qa‘ayayda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
743,حظ,luck; fortune,noun,ħˈaðð,hadhdh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
744,مهم,important,adjective,mˈuhimm,mohohhayaymm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
745,تعامل,dealing; interaction; dealt/interacted,noun / perfect / past verb,tˈaʕaːmˌul,ta‘amohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
746,ثقافة,culture,noun,θˈaqaːfˌa,thaqafa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
747,إجراءات,procedures; measures; actions,noun,ʔdʒrˈaːʔaːt,ʔyraʔat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
748,قضايا,issues; cases; causes,noun,qdˤˈa.ːjaː,qdˤa.ya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
749,طعام,food,noun,t̪ˈaʕaːm,t̪a‘am,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
750,سواء,equal; alike; whether...or; equally,adverb / conjunction / adjective,sˈawaːʔ,sawaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
751,يسمح,allows; permits,imperfect / present verb,jsmħ,ysmh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
752,أهداف,goals; objectives,noun,ʔhdˈaːf,ʔhdaf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
753,يسأل,asks; questions,imperfect / present verb,jsʔl,ysʔl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
754,ملعب,stadium; playing field,noun,mˈalʕab,mal‘ab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
755,دقائق,minutes,noun,dqˈaːʔq,dqaʔq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
756,فعلا,really; indeed; actually,adverb,fʕlaː,f‘la,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
757,عسكرية,military,adjective,ʕˌaskarˈijjah,‘askarayayyyah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
758,معرض,exhibition; fair; display; exposed; susceptible (depending on vocalization/use),noun / passive participle / adjective,mˈaʕridˤ,ma‘rayaydˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
759,بقاء,remaining; survival; staying,noun,bˈaqaːʔ,baqaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
760,اتصالات,communications; contacts,noun,ˈats̪a.ːlˌaːt,ats̪a.lat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
761,حفل,ceremony; party; event,noun,ħˈafl,hafl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
762,شؤون,affairs; matters,noun,ʃʔˈuːna,shʔohohna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
763,حجم,size; volume,noun,ħˈadʒm,haym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
764,يرغب,wants; desires; wishes,imperfect / present verb,jrɣb,yrghb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
765,زمن,time; era,noun,zˈaman,zaman,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
766,سلامة,safety; soundness; well-being,noun,sˈalaːmˌa,salama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
767,حي,alive; living; neighborhood; district,adjective / noun,ħˈajj,hayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
768,حوالي,around; approximately; about,adverb / preposition,ħˈawaːlˌaj,hawalay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
769,طرق,roads; ways; knocked,noun / perfect / past verb,t̪ˈaraq,t̪araq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
770,أسرع,faster; fastest; hasten; hurry,comparative adjective / verb,ʔˈasraʕ,ʔasra‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
771,توفير,provision; saving; availability,noun,tˈawfiːr,tawfayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
772,أصحاب,owners; companions; people of,noun,ʔs̪ħˈaːb,ʔs̪hab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
773,استثمار,investment,noun,ˈistiθmˌaːr,ayaystayaythmar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
774,مسؤولية,responsibility,noun,masʔˈuːliːjˌa,masʔohohlayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
775,كافة,all; entire; all of,noun,kˈaːffa,kaffa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
776,أدى,led to; performed; fulfilled,perfect / past verb,ʔˈadːaː,ʔada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
777,مسلمون,Muslims,noun,mˈuslimˈuːna,mohohslayaymohohna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
778,سباق,race; competition,noun,sˈibaːq,sayaybaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
779,زواج,marriage; wedding,noun,zˈawaːdʒ,zaway,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
780,يؤكد,confirms; affirms,imperfect / present verb,jʔkd,yʔkd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
781,ثقة,trust; confidence,noun,θˈiqa,thayayqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
782,تجربة,experience; experiment,noun,tˈadʒribˌa,tayrayayba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
783,روح,spirit; soul,noun,rˈuːħ,rohohh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
784,اعتبر,considered; regarded,perfect / past verb,ˈiʕtabˌar,ayay‘tabar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
785,نفط,petroleum; oil,noun,nˈift̪,nayayft̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
786,تقريبا,approximately; roughly,adverb,tqrˈiːbaː,tqrayayba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
787,إنشاء,establishment; creation; construction; composition,noun,ʔˈinʃaːʔ,ʔayaynshaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
788,يقلق,worries; becomes anxious; causes worry (depending on vocalization),imperfect / present verb,jqlq,yqlq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
789,يتصل,contacts; connects; calls,imperfect / present verb,jts̪l,yts̪l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
790,رحلة,journey; trip,noun,rˈiħla,rayayhla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
791,آنسة,Miss; young lady,noun,ʔˈaːnisˌa,ʔanayaysa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
792,استمر,continued; continue!,perfect / past verb / imperative verb,ˈistamˌarr,ayaystamarr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
793,أسفل,lower; lowest; underneath,adjective / adverb,ʔˈasfal,ʔasfal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
794,يتعلم,learns; studies,imperfect / present verb,jtʕlm,yt‘lm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
795,جو,weather; atmosphere; air,noun,dʒˈaww,yaww,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
796,أسلحة,weapons; arms,noun,ʔslħt,ʔslht,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
797,صدر,chest; breast; front; was issued; was published; came from (depending on vocalization/use),noun / perfect-past verb,s̪ˈadar,s̪adar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
798,نوم,sleep,noun,nˈawm,nawm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
799,صناعة,industry; manufacture,noun,s̪ˈinaːʕˌa,s̪ayayna‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
800,تحرير,liberation; editing,noun,tˈaħriːr,tahrayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
801,طلاب,students,noun,t̪lˈaːb,t̪lab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
802,قريبا,"soon; shortly; nearby (قريبًا, context-dependent)",adverb,qrˈiːbaː,qrayayba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
803,فتى,young man; boy,noun,fˈataː,fata,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
804,قوي,strong; powerful,adjective,qˈawiːj,qawayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
805,رعاية,care; sponsorship; protection,noun,rˈiʕaːjˌa,rayay‘aya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
806,تدريب,training; practice,noun,tˈadriːb,tadrayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
807,وفد,delegation; arrived/came as a delegate,noun / perfect / past verb,wˈafd,wafd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
808,اتجاه,direction; trend; orientation,noun,ˈitːidʒˌaːh,ayaytayayyah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
809,تناول,eating / consumption; taking; handling / dealing with,noun / verb,tˈanaːwˌal,tanawal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
810,وقف,endowment (waqf); stopped; stood,noun / perfect / past verb,wˈaqf,waqf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
811,أرسل,sent,perfect / past verb,ʔˈarsal,ʔarsal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
812,يضم,includes; comprises,imperfect / present verb,jdˤm,ydˤm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
813,مرور,passing; traffic; passage,noun,mˈuruːr,mohohrohohr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
814,شاب,young man; youth; mixed/adulterated (rare verb reading),noun / perfect / past verb,ʃˈaːbː,shab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
815,خرج,went out; left; exited,perfect / past verb,χˈaradʒ,kharay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
816,يتوقع,expects; anticipates,imperfect / present verb,jtˈuːqʕ,ytohohq‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
817,يقدم,presents; offers; submits,imperfect / present verb,jqdm,yqdm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
818,نمو,growth; development,noun,nˈumuːw,nohohmohohw,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
819,ثورة,revolution; uprising,noun,θˈawra,thawra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
820,أموال,money; funds; wealth,noun,ʔmˈuːaːl,ʔmohohal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
821,يكفي,is enough; suffices,imperfect / present verb,jkfˈiː,ykfayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
822,عاصمة,capital city,noun,ʕˈaːs̪-ˌima,‘as̪-ayayma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
823,يهم,matters; concerns; is important to,imperfect / present verb,ˈihum,ayayhohohm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
824,كبرى,major; greater; largest (feminine كبرى),adjective,kbraː,kbra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
825,حملة,campaign; group of carriers/bearers (depending on vocalization),noun,ħˈamla,hamla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
826,اقتصاد,economy; economics,noun,ˈiqtis̪ˌaːd,ayayqtayays̪ad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
827,لغة,language,noun,lˈuɣa,lohohgha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
828,عنوان,address; title; headline,noun,ʕˈunwaːn,‘ohohnwan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
829,كلية,college/faculty; kidney; entirety/totality (depending on vocalization/context),noun,kˈulliːjˌa,kohohllayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
830,عم,paternal uncle; became widespread/general,noun / perfect / past verb,ʕˈamm,‘amm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
831,قمة,summit; peak,noun,qˈimma,qayaymma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
832,تابع,follower/subordinate; followed; continued,noun / perfect / past verb,tˈaːbiʕ,tabayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
833,دائرة,circle; department; district,noun,dˈaːʔirˌa,daʔayayra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
834,أحداث,events,noun,ʔħdˈaːθ,ʔhdath,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
835,بحر,sea,noun,bˈaħr,bahr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
836,مناسب,suitable; appropriate,adjective,mˈunaːsˌib,mohohnasayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
837,قرية,village,noun,qˈarja,qarya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
838,يبلغ,reaches; amounts to; informs/notifies (depending on form),imperfect / present verb,jblɣ,yblgh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
839,انتهاء,ending; completion,noun,ˈintihˌaːʔ,ayayntayayhaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
840,معنى,meaning; sense,noun,mˈaʕnaː,ma‘na,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
841,يعاني,suffers,imperfect / present verb,jʕˈaːniː,y‘anayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
842,جاري,current; ongoing; my neighbor (depending on structure/vocalization),adjective / active participle / noun + possessive suffix,dʒˈaːriː,yarayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
843,مواد,materials; substances,noun,mˈuːaːd,mohohad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
844,مسألة,issue; matter; question,noun,mˈasʔalˌa,masʔala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
845,قلق,anxiety; concern; anxious; worried; became anxious/worried (depending on vocalization/use),noun / adjective / perfect-past verb,qˈalaq,qalaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
846,دعوة,invitation; call; advocacy; mission,noun / verbal noun,dˈaʕwa,da‘wa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
847,سكان,inhabitants; population,noun,sˈukːaːn,sohohkan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
848,أسباب,reasons; causes,noun,ʔsbˈaːb,ʔsbab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
849,يتوقف,stops; depends on,imperfect / present verb,jtˈuːqf,ytohohqf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
850,وصف,description; described,noun / perfect / past verb,wˈas̪af,was̪af,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
851,بلدة,town; small town,noun,bˈalda,balda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
852,علاج,medical treatment; therapy; processing,noun,ʕˈilaːdʒ,‘ayaylay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
853,أوراق,papers; leaves; documents,noun,ʔˈuːraːq,ʔohohraq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
854,رب,Lord; master; owner (رَبّ); perhaps/many a (رُبَّ),noun / preposition,rˈabː,rab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
855,وسائل,means; methods; media/devices,noun,wsaːʔl,wsaʔl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
856,مهرجان,festival,noun,mˈahradʒˌaːn,mahrayan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
857,تجارة,trade; commerce,noun,tˈidʒaːrˌa,tayayyara,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
858,ضرب,hitting; striking; strike; multiplication; hit; struck (depending on use),noun / perfect-past verb,dˤˈarb,dˤarb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
859,مقاومة,resistance; opposition,noun,muqˈaːwamˌa,mohohqawama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
860,يستخدم,uses; is used (voice depends on vocalization),imperfect / present verb,jstχdm,ystkhdm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
861,مصلحة,interest; benefit; public service/agency (context-dependent),noun,mˈas̪laħˌa,mas̪laha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
862,أسواق,markets,noun,ʔsˈuːaːq,ʔsohohaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
863,يدعو,calls; invites; advocates,imperfect / present verb,jdʕˈuː,yd‘ohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
864,سيطرة,control; domination,noun,sˈajt̪arˌa,sayt̪ara,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
865,مؤخرا,recently; lately,adverb,mʔχrˈaː,mʔkhra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
866,أساس,basis; foundation,noun,ʔˈasaːs,ʔasas,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
867,نظرة,look; view; glance,noun,nˈaðra,nadhra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
868,مجددا,again; anew; once again,adverb,mdʒddˈaː,mydda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
869,مادة,material; substance; article,noun,mˈaːdːa,mada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
870,جنس,type; kind; sex/gender,noun,dʒˈins,yayayns,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
871,أنفس,selves; souls,noun,ʔnfs,ʔnfs,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
872,تسجيل,registration; recording,noun,tˈasdʒiːl,tasyayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
873,أوسط,middle; central; intermediate; middlemost,elative adjective / adjective,ʔˈawsat̪,ʔawsat̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
874,حقق,achieved; realized; investigated/verified (depending on form),perfect / past verb,ħˈaqːaq,haqaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
875,خطاب,speech; address; discourse,noun,χˈit̪aːb,khayayt̪ab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
876,نجح,succeeded,perfect / past verb,nˈadʒaħ,nayah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
877,تشكيل,formation; composition; shaping,noun,tˈaʃkiːl,tashkayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
878,سيئة,bad; poor (feminine); bad deed; wrongdoing; sin,adjective / noun,sˈajjiʔˌa,sayyayayʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
879,بطل,hero; champion,noun,bˈat̪al,bat̪al,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
880,يقف,stands; stops,imperfect / present verb,jqf,yqf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
881,يواجه,faces; confronts,imperfect / present verb,jwˈaːdʒh,ywayh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
882,قرب,nearness; proximity; approached; came near (depending on vocalization/use),noun / perfect-past verb,qˈurb,qohohrb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
883,حاكم,ruler; governor; judged/prosecuted,noun / perfect / past verb,ħˈaːkim,hakayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
884,عقب,after; following; commented/followed up (عَقِب / عَقَّب),adverb / perfect / past verb,ʕˈaqib,‘aqayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
885,ظن,thought; belief; assumption; thought/believed,noun / perfect / past verb,ðˈann,dhann,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
886,مر,bitter; passed; went by (depending on vocalization/use),adjective / perfect-past verb,mˈarr,marr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
887,عشاء,dinner; evening meal (عَشَاء),noun,ʕˈaʃaːʔ,‘ashaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
888,إعداد,preparation; setup,noun,ʔˈiʕdaːd,ʔayay‘dad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
889,فندق,hotel,noun,fˈunduq,fohohndohohq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
890,يؤدي,leads to; performs; results in,imperfect / present verb,jʔdˈiː,yʔdayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
891,يحضر,attends; is present; prepares/brings (depending on form),imperfect / present verb,jħdˤr,yhdˤr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
